epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,224.383,1.16183,0.64897,1,0.8929,0.000413813,0.000413813,0.000413813
2,445.231,0.84037,0.67466,1,0.79578,0.000818734,0.000818734,0.000818734
3,626.956,0.77771,0.68322,1,0.8656,0.00121187,0.00121187,0.00121187
4,800.895,0.71905,0.73116,1,0.741,0.00119696,0.00119696,0.00119696
5,974.299,0.65345,0.7089,1,0.86479,0.00117929,0.00117929,0.00117929
6,1139.58,0.55778,0.72432,1,0.78752,0.00116161,0.00116161,0.00116161
7,1306.89,0.53914,0.72603,1,0.8178,0.00114393,0.00114393,0.00114393
8,1472.61,0.51674,0.74315,1,0.75619,0.00112625,0.00112625,0.00112625
9,1637.87,0.47628,0.74315,1,0.75553,0.00110857,0.00110857,0.00110857
10,1804.6,0.41177,0.73116,1,0.80172,0.00109089,0.00109089,0.00109089
11,1970.03,0.38698,0.73459,1,0.81874,0.00107321,0.00107321,0.00107321
12,2134.68,0.39508,0.73801,1,0.84593,0.00105554,0.00105554,0.00105554
13,2298.69,0.36677,0.72945,1,0.83353,0.00103786,0.00103786,0.00103786
14,2464,0.31907,0.74829,1,0.89892,0.00102018,0.00102018,0.00102018
15,2628.6,0.35503,0.71747,1,0.92273,0.0010025,0.0010025,0.0010025
16,2793.65,0.29614,0.74315,1,0.91756,0.000984821,0.000984821,0.000984821
17,2958.53,0.2996,0.75,1,1.01577,0.000967143,0.000967143,0.000967143
18,3124.23,0.31601,0.74486,1,0.9411,0.000949464,0.000949464,0.000949464
19,3288.83,0.27203,0.75171,1,0.97032,0.000931786,0.000931786,0.000931786
20,3453.66,0.24503,0.76199,1,0.94972,0.000914107,0.000914107,0.000914107
21,3620.9,0.24869,0.76027,1,1.02666,0.000896429,0.000896429,0.000896429
22,3786.59,0.23229,0.75,1,0.94539,0.00087875,0.00087875,0.00087875
23,3952.32,0.23768,0.74658,1,0.98141,0.000861071,0.000861071,0.000861071
24,4117.53,0.22249,0.75,1,0.97447,0.000843393,0.000843393,0.000843393
25,4287.58,0.20508,0.76712,1,0.97225,0.000825714,0.000825714,0.000825714
26,4456.47,0.20013,0.74486,1,0.9594,0.000808036,0.000808036,0.000808036
27,4621.12,0.20677,0.74486,1,1.04441,0.000790357,0.000790357,0.000790357
28,4786.25,0.18255,0.73973,1,1.2305,0.000772679,0.000772679,0.000772679
29,4951.3,0.17875,0.7637,1,0.98783,0.000755,0.000755,0.000755
30,5115.96,0.16332,0.76199,1,1.04389,0.000737321,0.000737321,0.000737321
31,5279.53,0.17806,0.75,1,1.00852,0.000719643,0.000719643,0.000719643
32,5444.38,0.16801,0.75342,1,1.08053,0.000701964,0.000701964,0.000701964
33,5609.72,0.14434,0.76712,1,0.97039,0.000684286,0.000684286,0.000684286
34,5774.48,0.15243,0.76712,1,1.12173,0.000666607,0.000666607,0.000666607
35,5938.62,0.16268,0.75685,1,1.10991,0.000648929,0.000648929,0.000648929
36,6103.19,0.15693,0.76712,1,1.05217,0.00063125,0.00063125,0.00063125
37,6267.37,0.14134,0.74658,1,1.115,0.000613571,0.000613571,0.000613571
38,6431.3,0.14155,0.75171,1,1.21817,0.000595893,0.000595893,0.000595893
39,6595.88,0.13026,0.77568,1,1.0205,0.000578214,0.000578214,0.000578214
40,6761.73,0.12798,0.76541,1,1.02801,0.000560536,0.000560536,0.000560536
41,6926.78,0.12725,0.77568,1,1.02254,0.000542857,0.000542857,0.000542857
42,7090.96,0.12102,0.77226,1,1.06985,0.000525179,0.000525179,0.000525179
43,7259.03,0.10026,0.78082,1,1.02615,0.0005075,0.0005075,0.0005075
44,7427.85,0.11074,0.75342,1,1.07747,0.000489821,0.000489821,0.000489821
45,7596.1,0.11459,0.75856,1,1.07587,0.000472143,0.000472143,0.000472143
46,7760.98,0.12167,0.77226,1,1.13944,0.000454464,0.000454464,0.000454464
47,7926.38,0.11259,0.77568,1,1.12547,0.000436786,0.000436786,0.000436786
48,8092.51,0.10284,0.77226,1,1.07382,0.000419107,0.000419107,0.000419107
49,8256.82,0.09007,0.76712,1,1.12027,0.000401429,0.000401429,0.000401429
50,8422.6,0.09268,0.7637,1,1.22829,0.00038375,0.00038375,0.00038375
51,8587.25,0.09967,0.75856,1,1.14356,0.000366071,0.000366071,0.000366071
52,8752.13,0.08657,0.7637,1,1.19243,0.000348393,0.000348393,0.000348393
53,8917.03,0.08488,0.76541,1,1.19589,0.000330714,0.000330714,0.000330714
54,9083.45,0.08027,0.7774,1,1.04111,0.000313036,0.000313036,0.000313036
55,9248.3,0.08543,0.76541,1,1.15869,0.000295357,0.000295357,0.000295357
56,9413.42,0.08332,0.77911,1,1.05126,0.000277679,0.000277679,0.000277679
57,9578.96,0.0827,0.78767,1,1.09244,0.00026,0.00026,0.00026
58,9745.36,0.06247,0.7774,1,1.09958,0.000242321,0.000242321,0.000242321
59,9910.49,0.08,0.77568,1,1.17949,0.000224643,0.000224643,0.000224643
60,10075.4,0.07683,0.77226,1,1.07908,0.000206964,0.000206964,0.000206964
61,10241.1,0.06737,0.76199,1,1.1078,0.000189286,0.000189286,0.000189286
62,10405.1,0.07208,0.77911,1,1.07646,0.000171607,0.000171607,0.000171607
63,10569.4,0.06799,0.7774,1,1.11922,0.000153929,0.000153929,0.000153929
64,10733.9,0.07046,0.77568,1,1.18552,0.00013625,0.00013625,0.00013625
65,10900.7,0.06127,0.77397,1,1.12376,0.000118571,0.000118571,0.000118571
66,11065.7,0.06475,0.77911,1,1.22524,0.000100893,0.000100893,0.000100893
67,11230.6,0.05408,0.77226,1,1.11298,8.32143e-05,8.32143e-05,8.32143e-05
68,11395.9,0.05846,0.77911,1,1.14644,6.55357e-05,6.55357e-05,6.55357e-05
69,11561.8,0.06207,0.76884,1,1.17049,4.78571e-05,4.78571e-05,4.78571e-05
70,11727,0.05489,0.77397,1,1.17206,3.01786e-05,3.01786e-05,3.01786e-05
